Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Metadata,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url,Product Image 3 Url,Product Image 4 Url,Product Image 5 Url,Product Image 6 Url,Product Image 7 Url,Product Image 8 Url,Product Image 9 Url,Product Image 10 Url
,la-guerra-de-los-panes,La guerra de los panes,,Lorem ipsum,draft,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/guerra-de-panes.png?v=1777232669,100.0,,,,,,,,,,,,,true,,"{""publisher"":""Penguin Libros""}",,Default Title,,9789500720465,false,true,100.0,,,,,,,,20.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/guerra-de-panes.png?v=1777232669,,,,,,,,,
,los-super-8-sol-y-luna,Los Súper 8: Sol y Luna,,Lorem Ipsum,draft,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/61u8TdwOKBL._SL1000.jpg?v=1777225965,250.0,,,,,,,,,,,,,true,,"{""publisher"":""Ralenti""}",,Default Title,,9789874822000,false,true,250.0,,,,,,,,24.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/61u8TdwOKBL._SL1000.jpg?v=1777225965,,,,,,,,,
,voy-a-comedte,¡Voy a comedte!,,,published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/detail_detail_cub_978_84_92750_86_3_voyacomedte.jpg?v=1777212583,0.0,,,,,,,,,,,,,true,,"{""publisher"":""Casa de cuentos""}",,Default Title,,9788492750863,false,true,0.0,,,,,,,,25.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/detail_detail_cub_978_84_92750_86_3_voyacomedte.jpg?v=1777212583,,,,,,,,,
,aja,¡Ajá!,,"Con dos ojos que te miran y otros dos ojos que tú ves, te piensas que soy un búho, pero no lo soy, lo sé.
Aunque vuele por la noche ¡uuuuh! no cantaré.
¿Aún crees que soy un pájaro?
¡Vuelve a mirarme otra vez!
¿Quién soy?
 
¡Adivina quiénes son estos 7 animales camuflados! Aprende más sobre sus técnicas para esconderse en la última página informativa.
 
Nuevo libro pop-up de la colección Pikabú que sorprende con sus troqueles tipo persianas con ilustraciones que se despliegan al girar las páginas.",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/834751_ecbd295af76b459bbd9bbeb7eedcaf1a_mv2.jpg?v=1777041423,240.0,,,,,,,,,,,,,true,,"{""publisher"":""Ediciones Liebre""}",,Default Title,,9789566222088,false,true,240.0,,,,,,,,23.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/834751_ecbd295af76b459bbd9bbeb7eedcaf1a_mv2.jpg?v=1777041423,,,,,,,,,
,donde-esta,¿Dónde está?,,"Un niño juega al escondite con diferentes partes de su cuerpo que se esconden bajo una gran tela de color rojo, y las hace reaparecer con un alegre saludo, nombrándolas: la mano, la otra mano, el pie, el otro pie, la cabeza, la cara. Con paciencia y ternura vamos acompañándolo mientras descubre su cuerpo y que ¡si puede vestirse solo!
 
Un álbum con un aspecto vintage tierno y singularmente bonito, para una primera emoción de lectura en el espejo que inmediatamente te hace querer empezar de nuevo.",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/834751_5b9aa8d399f5423c852e369111e7cd25_mv2.jpg?v=1777041423,116.0,,,,,,,,,,,,,true,,"{""publisher"":""Ediciones Liebre""}",,Default Title,,9789566222033,false,true,116.0,,,,,,,,23.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/834751_5b9aa8d399f5423c852e369111e7cd25_mv2.jpg?v=1777041423,,,,,,,,,
,crack,¡Crack!,,"Libro pop-up de cartoné que presenta siete huevos que se quiebran al mover las páginas, revelando las especies (serpiente pitón, caballito de mar, pulpo, emu, erizo, pingüino y Ranita de Darwin) que nacen tras haber leído los versos/adivinanzas.  Con troqueles tipo persiana que se despliegan al girar la página este libro es ideal para iniciar a los niños a la poesía y a despertar su curiosidad por la naturaleza. 
 
Última página trae información sobre proceso reproductivo de estos animales.",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/ccd3fb_9de5bf7b573d422f872a37b8d52fb2ad_mv2.jpg?v=1777041423,236.0,,,,,,,,,,,,,true,,"{""publisher"":""Ediciones Liebre""}",,Default Title,,9789560915412,false,true,236.0,,,,,,,,23.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/ccd3fb_9de5bf7b573d422f872a37b8d52fb2ad_mv2.jpg?v=1777041423,,,,,,,,,
,helados-de-luna,Helados de luna,,"Una noche de calor sofocante, en la que se va la luz, los vecinos de un edificio estaban desesperados porque no podían dormir. De pronto, ¡la luna comenzó a derretirse! La portera, una abuelita muy ingeniosa, recogió las gotitas y fabricó helados para todos. Los helados estaban fresquitos y ricos, así que todos pudieron dormir a pesar de tener los ventiladores y el aire acondicionado apagados. Cuando todo estaba en calma, dos conejos que vivían en la luna tocaron a la puerta. Se habían quedado sin hogar. Pero la abuelita encontró la solución también para ellos...

Heena Baek, artista galardonada con el Premio Astrid Lindgren Memorial 2020, que nos sorprendió con el libro Caramelos mágicos y luego con La extraña mamá, ahora lo hace con esta sencilla y original historia.

Con diferentes materiales y un trabajo minucioso y delicado, crea un universo único, construye los muñecos y las maquetas en miniatura para fotografiarlos después.

Una historia en la que una comunidad de vecinos vive una ola de calor y una ola de amor. El cuidado de unos que ayudan a otros y el cuidado de la tierra y la luna. 

Un álbum muy recomendable para todos esos pequeños que adoran los helados y la luna. Y, por supuesto, para todas las abuelas que con empatía y amor inventan momentos mágicos.",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/detail_detail_cub_978_84_17742_76_8_helados_de_luna.jpg?v=1777040419,460.0,,,,,,,,,,,,,true,,"{""publisher"":""Editorial Kókinos""}",,Default Title,,9788417742768,false,true,460.0,,,,,,,,24.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/detail_detail_cub_978_84_17742_76_8_helados_de_luna.jpg?v=1777040419,,,,,,,,,
,la-extrana-mama,La extraña mamá,,"A la mamá de Yoyo se le complica el día. Está trabajando y la llaman del colegio: el niño tiene fiebre y lo han mandado a casa. La mujer, nerviosa, llama a su madre para que vaya a cuidarlo, pero la comunicación falla y el mensaje lo recibe un extraño personaje... ¿Un hada madrina? ¿Una diosa de las nubes? ¿Un ángel solidario?… Este ser tan singular acepta hacer de extraña mamá.

Un peculiar cuento de hadas moderno ilustrado con esa técnica única e irrepetible de la autora coreana, ganadora del prestigioso The Astrid Lindgren Memorial Award.",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/detail_detail_cub_978_84_17742_64_5_laextranamama.jpg?v=1777040419,471.0,,,,,,,,,,,,,true,,"{""publisher"":""Editorial Kókinos""}",,Default Title,,9788417742645,false,true,471.0,,,,,,,,24.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/detail_detail_cub_978_84_17742_64_5_laextranamama.jpg?v=1777040419,,,,,,,,,
,caramelos-magicos,Caramelos mágicos,,"El protagonista de esta historia es un niño solitario que se entretiene jugando a las canicas. De pronto, un día, encuentra unas canicas diferentes. ¡Son caramelos! ¡Y además, mágicos! 

La autora e ilustradora coreana, ganadora del premio The Astrid Lindgren Memorial Award, compone un curioso, extraño y conmovedor relato arropado por sorprendentes ilustraciones, integrando llamativos muñecos de papel maché fotografiados. Cada emoción de los personajes parece salir del libro en cada página.

Un cuento perfecto para entender que es importante escuchar a los demás con un oído afinado, que no todo es lo que parece y que cuando uno halla sus propias palabras, se produce la magia: uno cambia.",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/detail_detail_cub_978_84_17742_66_9_caramelosmagicos.jpg?v=1777040419,494.0,,,,,,,,,,,,,true,,"{""publisher"":""Editorial Kókinos""}",,Default Title,,9788417742669,false,true,494.0,,,,,,,,24.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/detail_detail_cub_978_84_17742_66_9_caramelosmagicos.jpg?v=1777040419,,,,,,,,,
,la-fabrica-de-les-preguntes,La fàbrica de les preguntes,,"<p>Arribem al món amb una capacitat sorprenent per meravellar-nos davant tot allò que ens envolta. A mesura que anem desenvolupant el llenguatge, moguts per aquesta curiositat innata, comencem a fer preguntes sobre tot allò que desperta la nostra atenció. Els animals de fusta, pintura i paper que habiten aquest llibre ho tenen molt clar. Amb tot el seu cor, esperen impacients que arribi el seu torn de preguntar sobre temes tan propers com un pot de mel i tan grans com la lluna o el mar. Un llibre que ens convida a no perdre la curiositat, celebrant sempre el misteri de la vida.</p>",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/10400613485182.jpg?v=1776705187,328.0,,,,,,,,,,,,,true,,"{""publisher"":""A buen paso editorial S.L.""}",,Default Title,,9788410016422,false,true,328.0,,,,,,,,18.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/10400613485182.jpg?v=1776705187,,,,,,,,,
,vengava-la-historia-de-un-robot-valiente,Vengavá: La historia de un robot valiente,,"Cuando Vengavá abre sus ojos metálicos por primera vez, lo primero que pregunta es «¿En qué puedo ayudarte?», pues es un robot que ha sido creado para hacer cualquier tarea. Vengavá está siempre muy ocupado, pero no se cansa nunca y no pierde nunca su buen humor. Pero no todos lo ven con buenos ojos.
Los robots están sustituyendo poco a poco a los humanos tanto en el trabajo doméstico como en las fábricas y en las tareas creativas. Cuando estalla la guerra, también Vengavá tendrá que colaborar, aunque eso de guerrear no se le da muy bien, pues él fue creado para ayudar a los seres humanos.
Un emotivo álbum ilustrado pensado para todos los públicos que quiere llamar la atención sobre el actual desarrollo desbocado del mundo y las consecuencias que puede tener para el planeta y la sociedad.",published,,580.0,,,,,,,,,,,,,true,,"{""publisher"":""Álbumes""}",,Default Title,,9791387718244,false,true,580.0,,,,,,,,26.00,,Title,Default Title,,,,,,,,,,
,wangari-y-los-arboles-de-la-paz-una-historia-verdadera,Wangari y los arboles de la paz una historia verdadera,,"Growing up in a small village in Kenya,<p> Wangari is accustomed to being surrounded<p> by lush green lands. Wangari leaves Kenya,<p> and upon her return, is alarmed at the rapid<p> deforestation taking over her small village.<p> She begins planting trees and encourages<p> other women in her village to do the same.<p> This vivid account of the life of the 2004 Nobel<p> Peace Prize winner, Wangari Maathai who<p> dedicated her life to preserving the African<p> rainforest, is truly inspirational, and will show<p> children that one can lead by example and<p> that resiliency, heart, and perseverance<p> always prevail.",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/4505623485212.jpg?v=1776705185,307.0,,,,,,,,,,,,,true,,"{""publisher"":""Ekaré""}",,Default Title,,9788493684310,false,true,307.0,,,,,,,,24.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/4505623485212.jpg?v=1776705185,,,,,,,,,
,vida-mia,Vida mía,,"Vida, si cada vez haces más pequeñitos tus miedos. Vida, si visitas rincones que jamás habrías imaginado. Vida, si te acercas a personas fieles y bondadosas. Vida, si te rodeas de agradables placeres. Vida, si haces crecer tus cualidades. Una persona me dijo que ya todo estaba creado, escrito, oído… pero que aún existe la OPORTUNIDAD.",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/11314223485183.jpg?v=1776705185,426.0,,,,,,,,,,,,,true,,"{""publisher"":""Excellence Editorial""}",,Default Title,,9788412916379,false,true,426.0,,,,,,,,23.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/11314223485183.jpg?v=1776705185,,,,,,,,,
,una-herencia-peligrosa-a-dangerous-legacy,Una herencia peligrosa / A Dangerous Legacy,,"<b>El mismo día en que Amanda Black cumple trece años recibe una carta misteriosa que cambiará su vida. </b><br><br>Y de qué manera. De vivir casi en la miseria, ella y su tía Paula pasan a mudarse a una mansión gigantesca y laberíntica que ha pertenecido a la familia Black durante generaciones. Por si fuera poco, el cuerpo de Amanda empieza a manifestar habilidades insospechadas y averigua que debe tomar posesión de un legado familiar apasionante, secreto y peligroso, para el que deberá comenzar a entrenarse de inmediato. <br><br>¿Estará Amanda a la altura de lo que se espera de ella? ¿De lo que sus padres, y todos los Black antes que ellos, lucharon por perpetuar y proteger?<br><br><b>ENGLISH DESCRIPTION</b><br><br><b>The new middle-grade series by the bestselling thriller author of today.</b><br><br>The very same day Amanda Black turns thirteen, she receives a mysterious letter that will change her life. And in such a way.<br><br>After living in squalor, she and her aunt Paula now move to a colossal and labyrinthine manor that has been in the Black family for generations. On top of that, Amanda’s body begins to manifest unsuspected abilities, and she learns she must take overa gripping, secret, and dangerous family legacy, for which shemust immediately begin her training.<br><br>Will Amanda live up to what is expected of her? To what her parents and every other Black before them fought to immortalize and protect? <br><br>JUAN GÓMEZ-JURADO is the bestselling thriller author of today. He is a journalist, creatorof the successful thrillernovels inthe Antonia Scott universe, which havesold over a million copies. BÁRBARA MONTES is a child psychologist and avid reader. Together they present anew adventure and mystery collection for children over seven years old, filled with frantic and heart-pounding action.",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/5192633485185.jpg?v=1776705185,357.0,,,,,,,,,,,,,true,,"{""publisher"":""National Geographic Books""}",,Default Title,,9788417921378,false,true,357.0,,,,,,,,24.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/5192633485185.jpg?v=1776705185,,,,,,,,,
,una-visita-muy-rara,Una visita muy rara,,"<p>Una tarde de lluvia, dos hermanos reciben la visita de un gracioso personajito que necesita su ayuda y cuidados. El problema es que… Se tira pedetes cuando come pan, nieva cuando come helado, y trae truenos y lluvia cuando se enfada y llora…¿Qué van a hacer con este pequeñín? Este cuento retrata con especial sutileza la vida interior, las necesidades, los miedos y los anhelos de los niños. Este nuevo cuento de Heena Baek trata de la magia que surge del cuidado y el amor...</p>",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/20730543485185.jpg?v=1776705184,521.0,,,,,,,,,,,,,true,,"{""publisher"":""Kókinos""}",,Default Title,,9788419475169,false,true,521.0,,,,,,,,24.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/20730543485185.jpg?v=1776705184,,,,,,,,,
,ronia-la-hija-del-bandolero,"Ronia, la hija del bandolero",,"<p>&quot;La noche en que nació Ronia, los truenos retumbaban en las montañas; había una tormenta tan fuerte que todas las criaturas mágicas del Bosque de Mattis se habían escondido asustadas en sus guardias y escondrijos. Solo a las crueles arpías les gustaba la tormenta más que ninguna otra cosa y volaban chillando y graznando alrededor del castillo de los bandoleros...&quot;--Back cover.</p>",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/3406293485185.jpg?v=1776705183,432.0,,,,,,,,,,,,,true,,"{""publisher"":""Kókinos""}",,Default Title,,9788417742744,false,true,432.0,,,,,,,,24.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/3406293485185.jpg?v=1776705183,,,,,,,,,
,sawabona-te-respeto-te-valoro-eres-importante,"Sawabona : te respeto, te valoro, eres importante",,"Themba es una niña alegre, pero hoy está enfadada. Tan enfadada que no ha podido controlar su rabia y con una patada ha roto las vasijas de la alfarera. Themba ahora se siente aún peor que antes y se esconde para que nadie pueda verla. Sin embargo la anciana Lungile la encuentra, la coje de la mano y la lleva a la aldea. Allí los miembros de la tribu se reúnen para ayudarla. “Sawabona” le dicen a Themba. Esa palabra en la lengua de su tribu significa “yo te respeto, te valoro y eres importante para mí.” su madre, su padre y de las demás personas de la tribu dicen a Themba todo lo que ella hace para los demás siempre, le hablan de sus dones y de lo afortunados que son por tenerla cerca. Themba se siente querida, valorada. Su agradecimiento por esta forma tan bonita de acompañar harán que desee llevar esta costrumbre allá donde vaya. Para hacer del mundo un lugar lleno de amor.",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/4424333485183.jpg?v=1776705183,430.0,,,,,,,,,,,,,true,,"{""publisher"":""La Cuentería Respetuosa""}",,Default Title,,9788412227390,false,true,430.0,,,,,,,,23.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/4424333485183.jpg?v=1776705183,,,,,,,,,
,mis-cuentos-preferidos-de-hans-christian-andersen,Mis cuentos preferidos de Hans Christian Andersen,,"<p>A collection of the stories most representative of legendary storyteller Hans Christian Andersen, these adaptations stay true to the original tales. Combined with realistic, poetic illustrations, this compilation turns these stories from everyday tales into universal classics. Some of the adapted stories include &lt;i&gt;The Little Mermaid&lt;/i&gt;, &lt;i&gt;The Steadfast Tin Soldier&lt;/i&gt;, and &lt;i&gt;The Ugly Duckling&lt;/i&gt;. Una selección de los cuentos más representativos de Hans Christian Andersen, estas adaptaciones conservan la naturalidad de los relatos originales. Combinando las historias con ilustraciones poéticas y realistas que se caracterizan por la fidelidad y la exactitud de su ambientación, esta obra para niños eleva estos cuentos a la categoría de clásicos universales. Algunos de los cuentos adaptados en el libro son &lt;i&gt;El patito feo&lt;/i&gt;, &lt;i&gt;La sirenita&lt;/i&gt; y &lt;i&gt;El soldadito de plomo&lt;/i&gt;.</p>",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/22078253485213.jpg?v=1776705183,834.0,,,,,,,,,,,,,true,,"{""publisher"":""Combel Editorial""}",,Default Title,,9788498250152,false,true,834.0,,,,,,,,25.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/22078253485213.jpg?v=1776705183,,,,,,,,,
,la-fila-1,La fila,,"PREMIO INTERNACIONAL ENRIC SOLBES A MEJOR ÁLBUM ILUSTRADO
Amanece en el bosque tropical y ya se siente el delicioso aroma a magdalenas recién horneadas que el perezoso está preparando para sus vecinos. El oso hormiguero, decidido a ser el primero en probarlas, se ha levantado temprano y se ha puesto a hacer cola.
Pronto, otros animales impacientes también llegarán, ansiosos por conseguir una, volviendo la situación caótica. ¿Logrará el oso hormiguero conseguir su ansiada magdalena?",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/10030683485211.jpg?v=1776705183,461.0,,,,,,,,,,,,,true,,"{""publisher"":""ALGAR EDITORIAL""}",,Default Title,,9788491428237,false,true,461.0,,,,,,,,22.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/10030683485211.jpg?v=1776705183,,,,,,,,,
,preguntale-a-tu-padre,Pregúntale a tu padre,,"Sinopsis de Pregúntale a tu padre… y otras frases misteriosas de los adultos
«Cuando seas mayor, harás lo que quieras. Otra manera de decir: ¡No, no puedes tener un perro!»
Escrito e ilustrado por expertos que llevan mucho tiempo escuchando a los adultos, este útil e irónico manual llega por fin para traducir algunas de las frases más usadas por los mayores, para que podáis interpretarlas correctamente.
Un álbum para leer juntos, adultos y niños, para reírnos y entendernos.",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/5749903485183.jpg?v=1776705183,269.0,,,,,,,,,,,,,true,,"{""publisher"":""Liana Editorial""}",,Default Title,,9788412359947,false,true,269.0,,,,,,,,20.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/5749903485183.jpg?v=1776705183,,,,,,,,,
,los-tres-cerditos-y-el-inspector,Los tres cerditos y el inspector,,"<p>Los tres cerditos han recibido una carta muy especial: Su tía Rosario les envía un montón de dinero para que se construyan una casa cada uno... Pero el Lobo no está dispuesto a ponérselo fácil. Quiere destruir las casas porque dice que no cumplen las normas. ¿Se saldrá con la suya? Además de disfrutar de la lectura, permite conocer las distintas partes de una vivienda y las profesiones relacionadas con la construcción. Pizca de Sal es una colección que combina literatura y contenidos de distintas materias del currículo: cada libro aborda los contenidos a través de una historia de ficción con una trama seductora y divertida y un lenguaje adecuado a la edad de los lectores. Los libros, de diseño atractivo y profusamente ilustrados, van acompañados de diez fichas de actividades con propuestas para realizar individualmente o en equipo, y tanto en casa como en el aula.</p>",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/16369293485202.jpg?v=1776705183,0.0,,,,,,,,,,,,,true,,"{""publisher"":""Anaya Infantil Y Juvenil""}",,Default Title,,9788466784887,false,true,0.0,,,,,,,,20.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/16369293485202.jpg?v=1776705183,,,,,,,,,
,elige-tu-propia-aventura-perdido-en-el-amazonas,Elige tu propia aventura - Perdido en el Amazonas,,"¡CUIDADO! Este libro es diferente a los demás.
Lo que ocurra en esta historia está SOLO en tus manos.
Esta es tu misión: tus amigos han desparecido durante una expedición por el Amazonas y debes encontrarlos. Pero ten mucho cuidado; la jungla esconde grandes secretos y en ella habitan peligrosas criaturas.
En estos libros encontrarás:
Las novelas de aventuras más famosas de todos los tiempos.
Aventuras interactivas ideales para desarrollar las habilidades lógicas y la capacidad de resolución de problemas.
Historias cargadas de acción que engancharán a los lectores más reticentes.",published,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/14200363485188.jpg?v=1776705183,171.0,,,,,,,,,,,,,true,,"{""publisher"":""Molino""}",,Default Title,,9788427247888,false,true,171.0,,,,,,,,23.00,,Title,Default Title,https://cdn.shopify.com/s/files/1/0552/4075/3207/files/14200363485188.jpg?v=1776705183,,,,,,,,,
